"","Location","Music","Price","Sales","Income","Cost","Profit"
"605","Park","Alternative",32,46,1472,1122,350
"606","Park","Alternative",40,33,1320,1031,289
"607","Park","Alternative",40,42,1680,1094,586
"608","Park","Alternative",40,29,1160,1003,157
"609","Park","Alternative",40,26,1040,982,58
"610","Park","Alternative",35,47,1645,1129,516
"611","Park","Alternative",32,55,1760,1185,575
"612","Park","Alternative",32,54,1728,1178,550
"613","Park","Alternative",32,48,1536,1136,400
"614","Park","Alternative",40,32,1280,1024,256
"615","Park","Alternative",35,37,1295,1059,236
"616","Park","Alternative",32,54,1728,1178,550
"617","Park","Alternative",40,35,1400,1045,355
"618","Park","Alternative",35,49,1715,1143,572
"619","Park","Alternative",32,55,1760,1185,575
"620","Park","Alternative",32,50,1600,1150,450
"621","Park","Alternative",32,50,1600,1150,450
"622","Park","Alternative",40,23,920,961,-41
"623","Park","Alternative",40,32,1280,1024,256
"624","Park","Alternative",35,40,1400,1080,320
"625","Park","Alternative",35,46,1610,1122,488
"626","Park","Alternative",35,43,1505,1101,404
"627","Park","Alternative",35,46,1610,1122,488
"628","Park","Alternative",40,31,1240,1017,223
"629","Park","Alternative",32,54,1728,1178,550
"630","Park","Alternative",32,49,1568,1143,425
"631","Park","Alternative",32,50,1600,1150,450
"632","Park","Alternative",32,50,1600,1150,450
"633","Park","Alternative",35,40,1400,1080,320
"634","Park","Alternative",35,43,1505,1101,404
"635","Park","Alternative",32,55,1760,1185,575
"636","Park","Alternative",35,46,1610,1122,488
"637","Park","Alternative",40,28,1120,996,124
"638","Park","Alternative",40,28,1120,996,124
"639","Park","Alternative",40,32,1280,1024,256
"640","Park","Alternative",35,44,1540,1108,432
"641","Park","Alternative",32,56,1792,1192,600
"642","Park","Alternative",32,51,1632,1157,475
"643","Park","Alternative",35,40,1400,1080,320
"644","Park","Alternative",40,37,1480,1059,421
"645","Park","Alternative",40,33,1320,1031,289
"646","Park","Alternative",32,60,1920,1220,700
"647","Park","Alternative",32,60,1920,1220,700
"648","Park","Alternative",40,37,1480,1059,421
"649","Park","Alternative",35,48,1680,1136,544
"650","Park","Alternative",32,57,1824,1199,625
"651","Park","Alternative",40,37,1480,1059,421
"652","Park","Alternative",35,38,1330,1066,264
"653","Park","Alternative",35,38,1330,1066,264
"654","Park","Alternative",32,52,1664,1164,500
"655","Park","Alternative",35,31,1085,1017,68
"656","Park","Alternative",35,44,1540,1108,432
"657","Park","Alternative",40,34,1360,1038,322
"658","Park","Alternative",40,32,1280,1024,256
"659","Park","Alternative",32,46,1472,1122,350
"660","Park","Alternative",40,38,1520,1066,454
"661","Park","Alternative",32,56,1792,1192,600
"662","Park","Alternative",35,40,1400,1080,320
"663","Park","Alternative",40,30,1200,1010,190
"664","Park","Alternative",40,29,1160,1003,157
"665","Park","Alternative",40,28,1120,996,124
"666","Park","Alternative",35,47,1645,1129,516
"667","Park","Alternative",32,56,1792,1192,600
"668","Park","Alternative",40,34,1360,1038,322
"669","Park","Alternative",40,26,1040,982,58
"670","Park","Alternative",32,59,1888,1213,675
"671","Park","Alternative",35,42,1470,1094,376
"672","Park","Alternative",32,53,1696,1171,525
"673","Park","Alternative",32,54,1728,1178,550
"674","Park","Alternative",40,28,1120,996,124
"675","Park","Alternative",35,51,1785,1157,628
"676","Park","Alternative",35,43,1505,1101,404
"677","Park","Alternative",40,34,1360,1038,322
"678","Park","Alternative",40,31,1240,1017,223
"679","Park","Alternative",35,48,1680,1136,544
"680","Park","Alternative",35,34,1190,1038,152
"681","Park","Alternative",32,55,1760,1185,575
"682","Park","Alternative",32,54,1728,1178,550
"683","Park","Alternative",40,38,1520,1066,454
"684","Park","Alternative",32,59,1888,1213,675
"685","Park","Alternative",35,42,1470,1094,376
"686","Park","Alternative",35,48,1680,1136,544
"687","Park","Alternative",32,60,1920,1220,700
"688","Park","Alternative",40,22,880,954,-74
"689","Park","Alternative",35,38,1330,1066,264
"690","Park","Alternative",32,58,1856,1206,650
"691","Park","Alternative",40,32,1280,1024,256
"692","Park","Alternative",35,47,1645,1129,516
"693","Park","Alternative",32,55,1760,1185,575
"694","Park","Alternative",32,66,2112,1262,850
"695","Park","Alternative",40,39,1560,1073,487
"696","Park","Alternative",40,36,1440,1052,388
"697","Park","Alternative",35,52,1820,1164,656
"698","Park","Alternative",35,42,1470,1094,376
"699","Park","Alternative",35,45,1575,1115,460
"700","Park","Alternative",32,64,2048,1248,800
"701","Park","Alternative",40,28,1120,996,124
"702","Park","Alternative",35,43,1505,1101,404
"703","Park","Alternative",35,44,1540,1108,432
"704","Park","Alternative",40,34,1360,1038,322
"705","Park","Alternative",32,58,1856,1206,650
"706","Park","Alternative",35,41,1435,1087,348
"707","Park","Alternative",32,62,1984,1234,750
"708","Park","Alternative",32,66,2112,1262,850
"709","Park","Alternative",40,40,1600,1080,520
"710","Park","Alternative",40,30,1200,1010,190
"711","Park","Alternative",35,47,1645,1129,516
"712","Park","Alternative",32,58,1856,1206,650
"713","Park","Alternative",40,34,1360,1038,322
"714","Park","Alternative",35,48,1680,1136,544
"715","Park","Alternative",32,58,1856,1206,650
"716","Park","Alternative",35,50,1750,1150,600
"717","Park","Alternative",40,30,1200,1010,190
"718","Park","Alternative",32,62,1984,1234,750
"719","Park","Alternative",40,41,1640,1087,553
"720","Park","Alternative",32,66,2112,1262,850
"721","Park","Alternative",32,58,1856,1206,650
"722","Park","Alternative",40,36,1440,1052,388
"723","Park","Alternative",35,54,1890,1178,712
"724","Park","Alternative",35,43,1505,1101,404
"725","Park","Alternative",32,48,1536,1136,400
"726","Park","Alternative",35,46,1610,1122,488
"727","Park","Alternative",32,62,1984,1234,750
"728","Park","Alternative",35,50,1750,1150,600
"729","Park","Alternative",40,32,1280,1024,256
"730","Park","Alternative",40,32,1280,1024,256
"731","Park","Alternative",35,38,1330,1066,264
"732","Park","Alternative",35,45,1575,1115,460
"733","Park","Alternative",35,45,1575,1115,460
"734","Park","Alternative",40,28,1120,996,124
"735","Park","Alternative",32,59,1888,1213,675
"736","Park","Alternative",40,29,1160,1003,157
"737","Park","Alternative",35,42,1470,1094,376
"738","Park","Alternative",40,32,1280,1024,256
"739","Park","Alternative",32,65,2080,1255,825
"740","Park","Alternative",35,30,1050,1010,40
"741","Park","Alternative",40,34,1360,1038,322
"742","Park","Alternative",32,51,1632,1157,475
"743","Park","Alternative",40,40,1600,1080,520
"744","Park","Alternative",32,60,1920,1220,700
"745","Park","Alternative",40,31,1240,1017,223
"746","Park","Alternative",32,60,1920,1220,700
"747","Park","Alternative",32,54,1728,1178,550
"748","Park","Alternative",35,40,1400,1080,320
"749","Park","Alternative",40,36,1440,1052,388
"750","Park","Alternative",35,38,1330,1066,264
"751","Park","Alternative",40,38,1520,1066,454
"752","Park","Alternative",32,58,1856,1206,650
"753","Park","Alternative",40,38,1520,1066,454
"754","Park","Alternative",40,30,1200,1010,190
"755","Park","Alternative",40,30,1200,1010,190
"756","Park","Alternative",32,54,1728,1178,550
"757","Park","Alternative",40,46,1840,1122,718
"758","Park","Alternative",32,58,1856,1206,650
"759","Park","Alternative",32,54,1728,1178,550
"760","Park","Alternative",35,32,1120,1024,96
"761","Park","Alternative",32,53,1696,1171,525
"762","Park","Alternative",40,36,1440,1052,388
"763","Park","Alternative",35,46,1610,1122,488
"764","Park","Alternative",40,36,1440,1052,388
"765","Park","Alternative",35,36,1260,1052,208
"766","Park","Alternative",40,26,1040,982,58
"767","Park","Alternative",32,58,1856,1206,650
"768","Park","Alternative",35,45,1575,1115,460
"769","Park","Alternative",32,66,2112,1262,850
"770","Park","Alternative",32,47,1504,1129,375
"771","Park","Alternative",40,26,1040,982,58
"772","Park","Alternative",35,46,1610,1122,488
"773","Park","Alternative",35,46,1610,1122,488
"774","Park","Alternative",32,54,1728,1178,550
"775","Park","Alternative",35,44,1540,1108,432
"776","Park","Alternative",35,43,1505,1101,404
"777","Park","Alternative",35,42,1470,1094,376
"778","Park","Alternative",32,68,2176,1276,900
"779","Park","Alternative",32,59,1888,1213,675
"780","Park","Alternative",40,32,1280,1024,256
"781","Park","Alternative",32,55,1760,1185,575
"782","Park","Alternative",32,56,1792,1192,600
"783","Park","Alternative",32,59,1888,1213,675
"784","Park","Alternative",32,48,1536,1136,400
"785","Park","Alternative",32,42,1344,1094,250
"786","Park","Alternative",32,58,1856,1206,650
"787","Park","Alternative",32,60,1920,1220,700
"788","Park","Alternative",32,66,2112,1262,850
"789","Park","Alternative",32,52,1664,1164,500
"790","Park","Alternative",32,67,2144,1269,875
"791","Park","Alternative",32,59,1888,1213,675
"792","Park","Alternative",32,59,1888,1213,675
"793","Park","Alternative",32,52,1664,1164,500
"794","Park","Alternative",32,58,1856,1206,650
"795","Park","Alternative",32,62,1984,1234,750
"796","Park","Alternative",32,51,1632,1157,475
"797","Park","Alternative",32,52,1664,1164,500
"798","Park","Alternative",32,54,1728,1178,550
"799","Park","Alternative",32,60,1920,1220,700
"800","Park","Alternative",32,65,2080,1255,825
"801","Park","Alternative",32,67,2144,1269,875
"802","Park","Alternative",32,61,1952,1227,725
"803","Park","Alternative",32,62,1984,1234,750
"804","Park","Alternative",32,62,1984,1234,750
"805","Park","Alternative",32,54,1728,1178,550
"806","Park","Alternative",32,52,1664,1164,500
"807","Park","Alternative",32,51,1632,1157,475
"808","Park","Alternative",32,62,1984,1234,750
"809","Park","Alternative",32,52,1664,1164,500
"810","Park","Alternative",32,58,1856,1206,650
"811","Park","Alternative",32,64,2048,1248,800
"812","Park","Alternative",32,52,1664,1164,500
"813","Park","Alternative",32,57,1824,1199,625
"814","Park","Alternative",32,60,1920,1220,700
"815","Park","Alternative",32,56,1792,1192,600
"816","Park","Alternative",32,72,2304,1304,1000
"817","Park","Alternative",32,60,1920,1220,700
"818","Park","Alternative",32,61,1952,1227,725
"819","Park","Alternative",32,60,1920,1220,700
"820","Park","Alternative",32,54,1728,1178,550
"821","Park","Alternative",32,60,1920,1220,700
"822","Park","Alternative",32,64,2048,1248,800
"823","Park","Alternative",32,64,2048,1248,800
"824","Park","Alternative",32,60,1920,1220,700
"825","Park","Alternative",32,55,1760,1185,575
"826","Park","Alternative",32,60,1920,1220,700
"827","Park","Alternative",32,56,1792,1192,600
"828","Park","Alternative",32,63,2016,1241,775
"829","Park","Alternative",32,60,1920,1220,700
"830","Park","Alternative",32,66,2112,1262,850
"831","Park","Alternative",32,67,2144,1269,875
"832","Park","Alternative",32,56,1792,1192,600
"833","Park","Alternative",32,62,1984,1234,750
"834","Park","Alternative",32,57,1824,1199,625
"835","Park","Alternative",32,56,1792,1192,600
"836","Park","Alternative",32,67,2144,1269,875
"837","Park","Alternative",32,64,2048,1248,800
"838","Park","Alternative",32,60,1920,1220,700
"839","Park","Alternative",32,60,1920,1220,700
"840","Park","Alternative",32,56,1792,1192,600
"841","Park","Alternative",35,46,1610,1122,488
"842","Park","Alternative",35,44,1540,1108,432
"843","Park","Alternative",35,48,1680,1136,544
"844","Park","Alternative",35,50,1750,1150,600
"845","Park","Alternative",35,50,1750,1150,600
"846","Park","Alternative",35,45,1575,1115,460
"847","Park","Alternative",35,44,1540,1108,432
"848","Park","Alternative",35,39,1365,1073,292
"849","Park","Alternative",35,54,1890,1178,712
"850","Park","Alternative",35,50,1750,1150,600
"851","Park","Alternative",35,44,1540,1108,432
"852","Park","Alternative",35,42,1470,1094,376
"853","Park","Alternative",35,45,1575,1115,460
"854","Park","Alternative",35,48,1680,1136,544
"855","Park","Alternative",35,40,1400,1080,320
"856","Park","Alternative",35,38,1330,1066,264
"857","Park","Alternative",35,38,1330,1066,264
"858","Park","Alternative",35,42,1470,1094,376
"859","Park","Alternative",35,44,1540,1108,432
"860","Park","Alternative",35,36,1260,1052,208
"861","Park","Alternative",35,42,1470,1094,376
"862","Park","Alternative",35,40,1400,1080,320
"863","Park","Alternative",35,43,1505,1101,404
"864","Park","Alternative",35,32,1120,1024,96
"865","Park","Alternative",35,37,1295,1059,236
"866","Park","Alternative",35,38,1330,1066,264
"867","Park","Alternative",35,42,1470,1094,376
"868","Park","Alternative",35,42,1470,1094,376
"869","Park","Alternative",35,52,1820,1164,656
"870","Park","Alternative",35,36,1260,1052,208
"871","Park","Alternative",35,46,1610,1122,488
"872","Park","Alternative",35,50,1750,1150,600
"873","Park","Alternative",35,40,1400,1080,320
"874","Park","Alternative",35,40,1400,1080,320
"875","Park","Alternative",35,32,1120,1024,96
"876","Park","Alternative",35,40,1400,1080,320
"877","Park","Alternative",35,31,1085,1017,68
"878","Park","Alternative",35,43,1505,1101,404
"879","Park","Alternative",35,37,1295,1059,236
"880","Park","Alternative",35,43,1505,1101,404
"881","Park","Alternative",35,40,1400,1080,320
"882","Park","Alternative",35,49,1715,1143,572
"883","Park","Alternative",35,37,1295,1059,236
"884","Park","Alternative",35,40,1400,1080,320
"885","Park","Alternative",35,40,1400,1080,320
"886","Park","Alternative",35,36,1260,1052,208
"887","Park","Alternative",35,52,1820,1164,656
"888","Park","Alternative",35,40,1400,1080,320
"889","Park","Alternative",35,48,1680,1136,544
"890","Park","Alternative",35,49,1715,1143,572
"891","Park","Alternative",35,38,1330,1066,264
"892","Park","Alternative",35,52,1820,1164,656
"893","Park","Alternative",35,39,1365,1073,292
"894","Park","Alternative",35,46,1610,1122,488
"895","Park","Alternative",35,32,1120,1024,96
"896","Park","Alternative",35,36,1260,1052,208
"897","Park","Alternative",35,34,1190,1038,152
"898","Park","Alternative",35,37,1295,1059,236
"899","Park","Alternative",35,40,1400,1080,320
"900","Park","Alternative",35,44,1540,1108,432
"901","Park","Alternative",40,29,1160,1003,157
"902","Park","Alternative",40,30,1200,1010,190
"903","Park","Alternative",40,28,1120,996,124
"904","Park","Alternative",40,30,1200,1010,190
"905","Park","Alternative",40,32,1280,1024,256
"906","Park","Alternative",40,38,1520,1066,454
"907","Park","Alternative",40,28,1120,996,124
"908","Park","Alternative",40,30,1200,1010,190
"909","Park","Alternative",40,36,1440,1052,388
"910","Park","Alternative",40,33,1320,1031,289
"911","Park","Alternative",40,27,1080,989,91
"912","Park","Alternative",40,28,1120,996,124
"913","Park","Alternative",40,24,960,968,-8
"914","Park","Alternative",40,34,1360,1038,322
"915","Park","Alternative",40,30,1200,1010,190
"916","Park","Alternative",40,30,1200,1010,190
"917","Park","Alternative",40,32,1280,1024,256
"918","Park","Alternative",40,32,1280,1024,256
"919","Park","Alternative",40,34,1360,1038,322
"920","Park","Alternative",40,30,1200,1010,190
"921","Park","Alternative",40,29,1160,1003,157
"922","Park","Alternative",40,34,1360,1038,322
"923","Park","Alternative",40,35,1400,1045,355
"924","Park","Alternative",40,26,1040,982,58
"925","Park","Alternative",40,43,1720,1101,619
"926","Park","Alternative",40,35,1400,1045,355
"927","Park","Alternative",40,35,1400,1045,355
"928","Park","Alternative",40,36,1440,1052,388
"929","Park","Alternative",40,32,1280,1024,256
"930","Park","Alternative",40,26,1040,982,58
"931","Park","Alternative",40,34,1360,1038,322
"932","Park","Alternative",40,42,1680,1094,586
"933","Park","Alternative",40,36,1440,1052,388
"934","Park","Alternative",40,34,1360,1038,322
"935","Park","Alternative",40,36,1440,1052,388
"936","Park","Alternative",40,35,1400,1045,355
"937","Park","Alternative",40,36,1440,1052,388
"938","Park","Alternative",40,38,1520,1066,454
"939","Park","Alternative",40,26,1040,982,58
"940","Park","Alternative",40,34,1360,1038,322
"941","Park","Alternative",40,30,1200,1010,190
"942","Park","Alternative",40,36,1440,1052,388
"943","Park","Alternative",40,26,1040,982,58
"944","Park","Alternative",40,28,1120,996,124
"945","Park","Alternative",40,32,1280,1024,256
"946","Park","Alternative",40,27,1080,989,91
"947","Park","Alternative",40,32,1280,1024,256
"948","Park","Alternative",40,35,1400,1045,355
"949","Park","Alternative",40,33,1320,1031,289
"950","Park","Alternative",40,34,1360,1038,322
"951","Park","Alternative",40,33,1320,1031,289
"952","Park","Alternative",40,31,1240,1017,223
"953","Park","Alternative",40,29,1160,1003,157
"954","Park","Alternative",40,26,1040,982,58
"955","Park","Alternative",40,38,1520,1066,454
"956","Park","Alternative",40,34,1360,1038,322
"957","Park","Alternative",40,24,960,968,-8
"958","Park","Alternative",40,26,1040,982,58
"959","Park","Alternative",40,32,1280,1024,256
"960","Park","Alternative",40,32,1280,1024,256
"961","Park","Alternative",40,31,1240,1017,223
"962","Park","Alternative",40,44,1760,1108,652
"963","Park","Alternative",40,39,1560,1073,487
"964","Park","Alternative",32,62,1984,1234,750
"965","Park","Alternative",35,44,1540,1108,432
"966","Park","Alternative",40,33,1320,1031,289
"967","Park","Alternative",32,66,2112,1262,850
"968","Park","Alternative",35,38,1330,1066,264
"969","Park","Alternative",40,34,1360,1038,322
"970","Park","Alternative",40,43,1720,1101,619
"971","Park","Alternative",40,33,1320,1031,289
"972","Park","Alternative",40,32,1280,1024,256
"973","Park","Alternative",32,63,2016,1241,775
"974","Park","Alternative",32,54,1728,1178,550
"975","Park","Alternative",35,42,1470,1094,376
"976","Park","Alternative",35,43,1505,1101,404
"977","Park","Alternative",32,56,1792,1192,600
"978","Park","Alternative",32,51,1632,1157,475
"979","Park","Alternative",35,36,1260,1052,208
"980","Park","Alternative",32,62,1984,1234,750
"981","Park","Alternative",35,44,1540,1108,432
"982","Park","Alternative",32,60,1920,1220,700
"983","Park","Alternative",35,43,1505,1101,404
"984","Park","Alternative",40,45,1800,1115,685
"985","Park","Alternative",35,43,1505,1101,404
"986","Park","Alternative",35,40,1400,1080,320
"987","Park","Alternative",40,33,1320,1031,289
"988","Park","Alternative",40,26,1040,982,58
"989","Park","Alternative",32,66,2112,1262,850
"990","Park","Alternative",40,32,1280,1024,256
"991","Park","Alternative",40,26,1040,982,58
"992","Park","Alternative",40,34,1360,1038,322
"993","Park","Alternative",35,48,1680,1136,544
"994","Park","Alternative",35,49,1715,1143,572
"995","Park","Alternative",32,60,1920,1220,700
"996","Park","Alternative",32,49,1568,1143,425
"997","Park","Alternative",32,48,1536,1136,400
"998","Park","Alternative",32,59,1888,1213,675
"999","Park","Alternative",35,46,1610,1122,488
"1000","Park","Alternative",35,42,1470,1094,376
"1001","Park","Alternative",35,40,1400,1080,320
"1002","Park","Alternative",35,50,1750,1150,600
"1003","Park","Alternative",35,49,1715,1143,572
"1004","Park","Alternative",35,48,1680,1136,544
"1005","Park","Alternative",32,55,1760,1185,575
"1006","Park","Alternative",35,36,1260,1052,208
"1007","Park","Alternative",32,60,1920,1220,700
"1008","Park","Alternative",40,35,1400,1045,355
"1009","Park","Alternative",32,63,2016,1241,775
"1010","Park","Alternative",32,64,2048,1248,800
"1011","Park","Alternative",40,31,1240,1017,223
"1012","Park","Alternative",32,65,2080,1255,825
"1013","Park","Alternative",32,54,1728,1178,550
"1014","Park","Alternative",40,32,1280,1024,256
"1015","Park","Alternative",32,51,1632,1157,475
"1016","Park","Alternative",40,30,1200,1010,190
"1017","Park","Alternative",35,42,1470,1094,376
"1018","Park","Alternative",40,36,1440,1052,388
"1019","Park","Alternative",35,57,1995,1199,796
"1020","Park","Alternative",40,32,1280,1024,256
"1021","Park","Alternative",35,46,1610,1122,488
"1022","Park","Alternative",32,58,1856,1206,650
"1023","Park","Alternative",32,54,1728,1178,550
"1024","Park","Alternative",40,40,1600,1080,520
"1025","Park","Alternative",40,39,1560,1073,487
"1026","Park","Alternative",32,71,2272,1297,975
"1027","Park","Alternative",32,63,2016,1241,775
"1028","Park","Alternative",32,66,2112,1262,850
"1029","Park","Alternative",40,25,1000,975,25
"1030","Park","Alternative",32,58,1856,1206,650
"1031","Park","Alternative",35,42,1470,1094,376
"1032","Park","Alternative",32,62,1984,1234,750
"1033","Park","Alternative",40,34,1360,1038,322
"1034","Park","Alternative",32,55,1760,1185,575
"1035","Park","Alternative",32,64,2048,1248,800
"1036","Park","Alternative",35,38,1330,1066,264
"1037","Park","Alternative",40,39,1560,1073,487
"1038","Park","Alternative",35,46,1610,1122,488
"1039","Park","Alternative",32,58,1856,1206,650
"1040","Park","Alternative",35,40,1400,1080,320
"1041","Park","Alternative",35,50,1750,1150,600
"1042","Park","Alternative",32,56,1792,1192,600
"1043","Park","Alternative",35,44,1540,1108,432
"1044","Park","Alternative",40,34,1360,1038,322
"1045","Park","Alternative",40,26,1040,982,58
"1046","Park","Alternative",32,64,2048,1248,800
"1047","Park","Alternative",40,30,1200,1010,190
"1048","Park","Alternative",35,45,1575,1115,460
"1049","Park","Alternative",40,38,1520,1066,454
"1050","Park","Alternative",35,46,1610,1122,488
"1051","Park","Alternative",35,42,1470,1094,376
"1052","Park","Alternative",40,33,1320,1031,289
"1053","Park","Alternative",35,42,1470,1094,376
"1054","Park","Alternative",35,50,1750,1150,600
"1055","Park","Alternative",35,46,1610,1122,488
"1056","Park","Alternative",32,58,1856,1206,650
"1057","Park","Alternative",40,21,840,947,-107
"1058","Park","Alternative",32,60,1920,1220,700
"1059","Park","Alternative",35,41,1435,1087,348
"1060","Park","Alternative",32,66,2112,1262,850
"1061","Park","Alternative",40,42,1680,1094,586
"1062","Park","Alternative",40,30,1200,1010,190
"1063","Park","Alternative",40,34,1360,1038,322
"1064","Park","Alternative",35,45,1575,1115,460
"1065","Park","Alternative",35,48,1680,1136,544
"1066","Park","Alternative",40,34,1360,1038,322
"1067","Park","Alternative",40,34,1360,1038,322
"1068","Park","Alternative",40,40,1600,1080,520
"1069","Park","Alternative",32,58,1856,1206,650
"1070","Park","Alternative",35,47,1645,1129,516
"1071","Park","Alternative",40,29,1160,1003,157
"1072","Park","Alternative",32,64,2048,1248,800
"1073","Park","Alternative",32,61,1952,1227,725
"1074","Park","Alternative",35,36,1260,1052,208
"1075","Park","Alternative",40,26,1040,982,58
"1076","Park","Alternative",32,53,1696,1171,525
"1077","Park","Alternative",35,42,1470,1094,376
"1078","Park","Alternative",32,58,1856,1206,650
"1079","Park","Alternative",40,34,1360,1038,322
"1080","Park","Alternative",35,40,1400,1080,320
"1081","Park","Alternative",35,41,1435,1087,348
"1082","Park","Alternative",40,36,1440,1052,388
"1083","Park","Alternative",32,54,1728,1178,550
"1084","Park","Alternative",35,36,1260,1052,208
"1085","Park","Alternative",40,26,1040,982,58
"1086","Park","Alternative",32,62,1984,1234,750
"1087","Park","Alternative",32,64,2048,1248,800
"1088","Park","Alternative",35,38,1330,1066,264
"1089","Park","Alternative",40,30,1200,1010,190
"1090","Park","Alternative",35,43,1505,1101,404
"1091","Park","Alternative",32,56,1792,1192,600
"1092","Park","Alternative",35,30,1050,1010,40
"1093","Park","Alternative",32,58,1856,1206,650
"1094","Park","Alternative",40,33,1320,1031,289
"1095","Park","Alternative",32,54,1728,1178,550
"1096","Park","Alternative",32,56,1792,1192,600
"1097","Park","Alternative",35,48,1680,1136,544
"1098","Park","Alternative",40,38,1520,1066,454
"1099","Park","Alternative",35,50,1750,1150,600
"1100","Park","Alternative",32,59,1888,1213,675
"1101","Park","Alternative",40,34,1360,1038,322
"1102","Park","Alternative",35,46,1610,1122,488
"1103","Park","Alternative",32,57,1824,1199,625
"1104","Park","Alternative",40,28,1120,996,124
"1105","Park","Alternative",40,44,1760,1108,652
"1106","Park","Alternative",35,36,1260,1052,208
"1107","Park","Alternative",35,40,1400,1080,320
"1108","Park","Alternative",35,45,1575,1115,460
"1109","Park","Alternative",40,32,1280,1024,256
"1110","Park","Alternative",40,30,1200,1010,190
"1111","Park","Alternative",40,40,1600,1080,520
"1112","Park","Alternative",40,34,1360,1038,322
"1113","Park","Alternative",35,46,1610,1122,488
"1114","Park","Alternative",32,56,1792,1192,600
"1115","Park","Alternative",40,32,1280,1024,256
"1116","Park","Alternative",32,50,1600,1150,450
"1117","Park","Alternative",32,67,2144,1269,875
"1118","Park","Alternative",40,32,1280,1024,256
"1119","Park","Alternative",32,62,1984,1234,750
"1120","Park","Alternative",35,43,1505,1101,404
"1121","Park","Alternative",32,56,1792,1192,600
"1122","Park","Alternative",40,32,1280,1024,256
"1123","Park","Alternative",40,25,1000,975,25
"1124","Park","Alternative",32,50,1600,1150,450
"1125","Park","Alternative",35,43,1505,1101,404
"1126","Park","Alternative",35,36,1260,1052,208
"1127","Park","Alternative",32,56,1792,1192,600
"1128","Park","Alternative",35,36,1260,1052,208
"1129","Park","Alternative",40,36,1440,1052,388
"1130","Park","Alternative",32,46,1472,1122,350
"1131","Park","Alternative",32,58,1856,1206,650
"1132","Park","Alternative",35,41,1435,1087,348
"1133","Park","Alternative",35,44,1540,1108,432
"1134","Park","Alternative",40,38,1520,1066,454
"1135","Park","Alternative",40,24,960,968,-8
"1136","Park","Alternative",35,44,1540,1108,432
"1137","Park","Alternative",35,44,1540,1108,432
"1138","Park","Alternative",32,58,1856,1206,650
"1139","Park","Alternative",32,50,1600,1150,450
"1140","Park","Alternative",40,38,1520,1066,454
"1141","Park","Alternative",35,51,1785,1157,628
"1142","Park","Alternative",40,22,880,954,-74
"1143","Park","Alternative",35,40,1400,1080,320
"1144","Park","Alternative",32,53,1696,1171,525
"1145","Park","Alternative",40,38,1520,1066,454
"1146","Park","Alternative",35,36,1260,1052,208
"1147","Park","Alternative",35,42,1470,1094,376
"1148","Park","Alternative",32,62,1984,1234,750
"1149","Park","Alternative",40,32,1280,1024,256
"1150","Park","Alternative",40,30,1200,1010,190
"1151","Park","Alternative",32,52,1664,1164,500
"1152","Park","Alternative",35,34,1190,1038,152
"1153","Park","Alternative",32,54,1728,1178,550
"1154","Park","Alternative",40,29,1160,1003,157
"1155","Park","Alternative",40,32,1280,1024,256
"1156","Park","Alternative",40,34,1360,1038,322
"1157","Park","Alternative",32,59,1888,1213,675
"1158","Park","Alternative",40,40,1600,1080,520
"1159","Park","Alternative",35,46,1610,1122,488
"1160","Park","Alternative",35,42,1470,1094,376
"1161","Park","Alternative",35,36,1260,1052,208
"1162","Park","Alternative",35,36,1260,1052,208
"1163","Park","Alternative",40,29,1160,1003,157
"1164","Park","Alternative",32,60,1920,1220,700
"1165","Park","Alternative",35,49,1715,1143,572
"1166","Park","Alternative",32,72,2304,1304,1000
"1167","Park","Alternative",35,44,1540,1108,432
"1168","Park","Alternative",32,74,2368,1318,1050
"1169","Park","Alternative",32,54,1728,1178,550
"1170","Park","Alternative",32,58,1856,1206,650
"1171","Park","Alternative",40,30,1200,1010,190
"1172","Park","Alternative",35,42,1470,1094,376
"1173","Park","Alternative",32,68,2176,1276,900
"1174","Park","Alternative",40,35,1400,1045,355
"1175","Park","Alternative",35,40,1400,1080,320
"1176","Park","Alternative",32,56,1792,1192,600
"1177","Park","Alternative",32,60,1920,1220,700
"1178","Park","Alternative",32,53,1696,1171,525
"1179","Park","Alternative",35,36,1260,1052,208
"1180","Park","Alternative",40,32,1280,1024,256
"1181","Park","Alternative",40,34,1360,1038,322
"1182","Park","Alternative",40,24,960,968,-8
"1183","Park","Alternative",32,49,1568,1143,425
"1184","Park","Alternative",35,43,1505,1101,404
"1185","Park","Alternative",32,66,2112,1262,850
"1186","Park","Alternative",40,30,1200,1010,190
"1187","Park","Alternative",35,41,1435,1087,348
"1188","Park","Alternative",35,48,1680,1136,544
"1189","Park","Alternative",40,20,800,940,-140
"1190","Park","Alternative",32,51,1632,1157,475
"1191","Park","Alternative",32,56,1792,1192,600
"1192","Park","Alternative",40,26,1040,982,58
"1193","Park","Alternative",35,46,1610,1122,488
"1194","Park","Alternative",35,42,1470,1094,376
"1195","Park","Alternative",40,37,1480,1059,421
"1196","Park","Alternative",35,40,1400,1080,320
"1197","Park","Alternative",32,54,1728,1178,550
"1198","Park","Alternative",32,58,1856,1206,650
"1199","Park","Alternative",40,23,920,961,-41
"1200","Park","Alternative",40,32,1280,1024,256
"1201","Park","Alternative",35,33,1155,1031,124
"1202","Park","Alternative",40,34,1360,1038,322
"1203","Park","Alternative",40,40,1600,1080,520
"1204","Park","Alternative",40,36,1440,1052,388
